=== 统计 ===
总学校数: 450
成功: 271
失败(failed): 51
未找到(not_found): 128

=== 失败(failed) 学校列表 (51 所) ===
  北京大学 | ID: 3539644575 | 地区: 北京 | 错误: 内容过短或为空
  中国劳动关系学院 | ID: 3539644599 | 地区: 北京 | 错误: 内容过短或为空
  北京化工大学 | ID: 3539644672 | 地区: 北京 | 错误: 内容过短或为空
  北京邮电大学 | ID: 3539644332 | 地区: 北京 | 错误: 内容过短或为空
  北京电影学院 | ID: 3539644390 | 地区: 北京 | 错误: 内容过短或为空
  中国政法大学 | ID: 3539644458 | 地区: 北京 | 错误: 内容过短或为空
  北京林业大学 | ID: 3539644590 | 地区: 北京 | 错误: 内容过短或为空
  中国矿业大学(北京) | ID: 3539644594 | 地区: 北京 | 错误: 内容过短或为空
  北京建筑大学 | ID: 3539644660 | 地区: 北京 | 错误: 内容过短或为空
  北京师范大学 | ID: 3539644445 | 地区: 北京 | 错误: 内容过短或为空
  天津大学 | ID: 3539644530 | 地区: 天津 | 错误: 内容过短或为空
  南开大学 | ID: 3539644582 | 地区: 天津 | 错误: 内容过短或为空
  天津师范大学 | ID: 3539644623 | 地区: 天津 | 错误: 内容过短或为空
  天津工业大学 | ID: 3539644419 | 地区: 天津 | 错误: 内容过短或为空
  天津农学院 | ID: 3539644491 | 地区: 天津 | 错误: 内容过短或为空
  河北科技大学 | ID: 3539644268 | 地区: 河北 | 错误: 内容过短或为空
  河北大学 | ID: 3539644612 | 地区: 河北 | 错误: 内容过短或为空
  河北农业大学 | ID: 3539644646 | 地区: 河北 | 错误: 内容过短或为空
  大连医科大学 | ID: 3539644275 | 地区: 辽宁 | 错误: 内容过短或为空
  沈阳大学 | ID: 3539644277 | 地区: 辽宁 | 错误: 内容过短或为空
  大连理工大学 | ID: 3539644644 | 地区: 辽宁 | 错误: 内容过短或为空
  中国医科大学 | ID: 3539644450 | 地区: 辽宁 | 错误: 内容过短或为空
  东北财经大学 | ID: 3539644563 | 地区: 辽宁 | 错误: 内容过短或为空
  大连海事大学 | ID: 3539644273 | 地区: 辽宁 | 错误: 内容过短或为空
  哈尔滨工程大学 | ID: 3539644308 | 地区: 黑龙江 | 错误: 内容过短或为空
  哈尔滨商业大学 | ID: 3539644241 | 地区: 黑龙江 | 错误: 内容过短或为空
  东北农业大学 | ID: 3539644650 | 地区: 黑龙江 | 错误: 内容过短或为空
  上海杉达学院 | ID: 3539644451 | 地区: 上海 | 错误: 内容过短或为空
  上海财经大学 | ID: 3539644475 | 地区: 上海 | 错误: 内容过短或为空
  扬州大学 | ID: 3539644291 | 地区: 江苏 | 错误: 内容过短或为空
  南京大学 | ID: 3539644536 | 地区: 江苏 | 错误: 内容过短或为空
  金陵科技学院 | ID: 3539644245 | 地区: 江苏 | 错误: 内容过短或为空
  南京师范大学 | ID: 3539644533 | 地区: 江苏 | 错误: 内容过短或为空
  南京审计大学 | ID: 3539644584 | 地区: 江苏 | 错误: 内容过短或为空
  中国矿业大学 | ID: 3539644642 | 地区: 江苏 | 错误: 内容过短或为空
  东南大学 | ID: 3539644335 | 地区: 江苏 | 错误: 内容过短或为空
  南京工业大学 | ID: 3539644344 | 地区: 江苏 | 错误: 内容过短或为空
  常州工学院 | ID: 3539644630 | 地区: 江苏 | 错误: 内容过短或为空
  南京艺术学院 | ID: 3539644357 | 地区: 江苏 | 错误: 内容过短或为空
  温州大学 | ID: 3539644302 | 地区: 浙江 | 错误: 内容过短或为空
  西湖大学 | ID: 3539644602 | 地区: 浙江 | 错误: 内容过短或为空
  浙江万里学院 | ID: 3539644640 | 地区: 浙江 | 错误: 内容过短或为空
  宁波诺丁汉大学 | ID: 3539644366 | 地区: 浙江 | 错误: 内容过短或为空
  浙江传媒学院 | ID: 3539644418 | 地区: 浙江 | 错误: 内容过短或为空
  中国计量大学 | ID: 3539644407 | 地区: 浙江 | 错误: 内容过短或为空
  合肥工业大学 | ID: 3539644396 | 地区: 安徽 | 错误: 内容过短或为空
  安徽大学 | ID: 3539644388 | 地区: 安徽 | 错误: 内容过短或为空
  安徽农业大学 | ID: 3539644389 | 地区: 安徽 | 错误: 内容过短或为空
  福建师范大学 | ID: 3539644324 | 地区: 福建 | 错误: 内容过短或为空
  厦门大学嘉庚学院 | ID: 3539644689 | 地区: 福建 | 错误: 内容过短或为空
  福建福耀科技大学 | ID: 3539644688 | 地区: 福建 | 错误: 内容过短或为空

=== 未找到(not_found) 学校列表 (128 所) ===
  中央美术学院 | ID: 3539644256 | 地区: 北京 | 来源: search | 错误: 内容过短或为空
  中国石油大学(北京) | ID: 3539644544 | 地区: 北京 | 来源: direct | 错误: 内容过短或为空
  中央财经大学 | ID: 3539644556 | 地区: 北京 | 来源: search | 错误: 内容过短或为空
  北京舞蹈学院 | ID: 3539644257 | 地区: 北京 | 来源: direct | 错误: N/A
  中国音乐学院 | ID: 3539644255 | 地区: 北京 | 来源: direct | 错误: N/A
  中央音乐学院 | ID: 3539644254 | 地区: 北京 | 来源: direct | 错误: N/A
  北京语言大学 | ID: 3539644543 | 地区: 北京 | 来源: direct | 错误: N/A
  中央戏剧学院 | ID: 3539644598 | 地区: 北京 | 来源: direct | 错误: N/A
  中国戏曲学院 | ID: 3539644671 | 地区: 北京 | 来源: direct | 错误: N/A
  清华大学 | ID: 3539644665 | 地区: 北京 | 来源: direct | 错误: N/A
  北京第二外国语学院中瑞酒店管理学院 | ID: 3539644262 | 地区: 北京 | 来源: direct | 错误: N/A
  外交学院 | ID: 3539644421 | 地区: 北京 | 来源: direct | 错误: N/A
  北京第二外国语学院 | ID: 3539644493 | 地区: 北京 | 来源: direct | 错误: N/A
  天津医科大学 | ID: 3539644264 | 地区: 天津 | 来源: direct | 错误: N/A
  天津外国语大学 | ID: 3539644659 | 地区: 天津 | 来源: direct | 错误: N/A
  天津音乐学院 | ID: 3539644439 | 地区: 天津 | 来源: direct | 错误: N/A
  天津城建大学 | ID: 3539644490 | 地区: 天津 | 来源: direct | 错误: N/A
  内蒙古艺术学院 | ID: 3539644682 | 地区: 内蒙古 | 来源: direct | 错误: N/A
  山西财经大学 | ID: 3539644270 | 地区: 山西 | 来源: direct | 错误: N/A
  沈阳农业大学 | ID: 3539644282 | 地区: 辽宁 | 来源: direct | 错误: N/A
  长春理工大学 | ID: 3539644280 | 地区: 吉林 | 来源: direct | 错误: N/A
  哈尔滨工业大学 | ID: 3539644309 | 地区: 黑龙江 | 来源: direct | 错误: N/A
  哈尔滨医科大学 | ID: 3539644239 | 地区: 黑龙江 | 来源: direct | 错误: N/A
  东北石油大学 | ID: 3539644294 | 地区: 黑龙江 | 来源: direct | 错误: N/A
  上海交通大学 | ID: 3539644326 | 地区: 上海 | 来源: direct | 错误: N/A
  华东政法大学 | ID: 3539644597 | 地区: 上海 | 来源: direct | 错误: N/A
  上海中医药大学 | ID: 3539644470 | 地区: 上海 | 来源: direct | 错误: N/A
  上海戏剧学院 | ID: 3539644476 | 地区: 上海 | 来源: direct | 错误: N/A
  同济大学 | ID: 3539644566 | 地区: 上海 | 来源: direct | 错误: N/A
  常州大学 | ID: 3539644567 | 地区: 江苏 | 来源: direct | 错误: N/A
  昆山杜克大学 | ID: 3539644412 | 地区: 江苏 | 来源: direct | 错误: N/A
  南京邮电大学 | ID: 3539644244 | 地区: 江苏 | 来源: direct | 错误: N/A
  浙江师范大学 | ID: 3539644359 | 地区: 浙江 | 来源: direct | 错误: N/A
  浙江工商大学 | ID: 3539644361 | 地区: 浙江 | 来源: direct | 错误: N/A
  台州学院 | ID: 3539644360 | 地区: 浙江 | 来源: direct | 错误: N/A
  福州大学 | ID: 3539644305 | 地区: 福建 | 来源: direct | 错误: N/A
  福建医科大学 | ID: 3539644580 | 地区: 福建 | 来源: direct | 错误: N/A
  福建理工大学 | ID: 3539644452 | 地区: 福建 | 来源: direct | 错误: 内容过短或为空
  泉州师范学院 | ID: 3539644410 | 地区: 福建 | 来源: direct | 错误: 内容过短或为空
  福建中医药大学 | ID: 3539644403 | 地区: 福建 | 来源: search | 错误: 内容过短或为空
  福建农林大学金山学院 | ID: 3539644692 | 地区: 福建 | 来源: search | 错误: 内容过短或为空
  福建江夏学院 | ID: 3539644489 | 地区: 福建 | 来源: direct | 错误: 内容过短或为空
  福建农林大学 | ID: 3539644483 | 地区: 福建 | 来源: search | 错误: 内容过短或为空
  三明学院 | ID: 3539644487 | 地区: 福建 | 来源: search | 错误: 内容过短或为空
  华东交通大学 | ID: 3539644336 | 地区: 江西 | 来源: direct | 错误: 内容过短或为空
  武夷学院 | ID: 3539644447 | 地区: 福建 | 来源: search | 错误: 内容过短或为空
  南昌大学 | ID: 3539644548 | 地区: 江西 | 来源: search | 错误: 内容过短或为空
  江西财经大学 | ID: 3539644304 | 地区: 江西 | 来源: search | 错误: 内容过短或为空
  井冈山大学 | ID: 3539644498 | 地区: 江西 | 来源: search | 错误: 内容过短或为空
  山东建筑大学 | ID: 3539644292 | 地区: 山东 | 来源: search | 错误: 内容过短或为空
  山东大学 | ID: 3539644316 | 地区: 山东 | 来源: search | 错误: 内容过短或为空
